자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,ST_PARK,SCORE
마포구,대흥동,0.24506218210370828,0.24738114805394146,0.3880243145761344,0.11132623426911907,0.7825567502986855,0.0,0.016491754122938528,0.03942269143391688,1.7908423834245273
용산구,보광동,0.06924766418972629,0.06986478901119422,0.2383786919565163,0.09174175292277906,0.8805256869772998,0.4000000000000001,0.03898050974512743,0.0360817853801951,1.7887390948026434
송파구,풍납1동,0.12532695319971066,0.12742540168445818,0.19113678210205062,0.026435326532131955,0.8781362007168457,0.4000000000000001,0.03898050974512743,0.0670408481446835,1.7874411739803246
송파구,문정2동,0.16162033766757825,0.16306871028470907,0.31321411456100084,0.2800655298235163,0.4301075268817204,0.4000000000000001,0.03898050974512743,0.021337253329769698,1.7870567289636525
강남구,도곡1동,0.15620309425102372,0.15747396920784032,0.4031578681867481,0.34328691637500935,0.28793309438470727,0.4000000000000001,0.03898050974512743,0.024143614414895983,1.7870354521504563
종로구,이화동,0.15809429299765754,0.16010801964409344,0.45362826947814466,0.47174026360860827,0.10394265232974909,0.4000000000000001,0.03898050974512743,0.05456813221078889,1.7864940078033806
강남구,논현2동,0.3028642085017494,0.302004386279619,0.193785153983908,0.15526100230843698,0.3930704898446833,0.4000000000000001,0.03898050974512743,0.02957815492895006,1.785965750663524
양천구,신정7동,0.08814845617932766,0.08893650196825456,0.3287007844225288,0.13522972671084965,0.7037037037037036,0.4000000000000001,0.03898050974512743,0.011759989309100627,1.783699682729792
강서구,방화2동,0.10065639904692417,0.10253189464734119,0.25840542790122834,0.18095167175515675,0.7013142174432495,0.4000000000000001,0.03898050974512743,0.0014699986636375786,1.7828401205390276
구로구,가리봉동,0.10277961559091614,0.10416812235594786,0.22914722425404194,0.09650755826941694,0.8100358422939066,0.4000000000000001,0.03898050974512743,0.026415430531426788,1.781618872509357
강서구,발산1동,0.16967821694528093,0.17137379051933177,0.5056372487199535,0.40851887705711526,0.48506571087216244,0.0,0.03898050974512743,0.050959953672769384,1.7792543538589713
서초구,반포2동,0.13203196853789387,0.13364632950256838,0.2630968295205186,0.2188547174026361,0.5925925925925926,0.4000000000000001,0.03898050974512743,0.012027261793398369,1.779202947301337
마포구,신수동,0.09240585958337448,0.0934911503120344,0.31069185562589857,0.2206418944076253,0.6200716845878136,0.4000000000000001,0.03898050974512743,0.048242683415742345,1.7762829542618739
중구,광희동,0.0775085788222846,0.07830869772766014,0.21832673342245318,0.15250577109241195,0.8100358422939066,0.4000000000000001,0.03898050974512743,0.02917724620250345,1.775666133103844
강남구,일원1동,0.1338020688968501,0.13558919200566324,0.3821726738466971,0.2866185121751434,0.4086021505376344,0.4000000000000001,0.02848575712143928,0.053053588133101695,1.7752703545834276
성동구,용답동,0.06363541838899645,0.06421914281666577,0.3079173707972861,0.11862387370615832,0.7801672640382317,0.4000000000000001,0.03898050974512743,0.02325270613390351,1.7735435794924659
