자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,SCORE
종로구,청운효자동,0.10277961559091614,0.10416812235594786,0.22914722425404194,0.09650755826941694,0.8100358422939066,0.4000000000000001,0.03898050974512743,1.781618872509357
서초구,서초4동,0.16967821694528093,0.17137379051933177,0.5056372487199535,0.40851887705711526,0.48506571087216244,0.0,0.03898050974512743,1.7792543538589713
강동구,성내3동,0.13203196853789387,0.13364632950256838,0.2630968295205186,0.2188547174026361,0.5925925925925926,0.4000000000000001,0.03898050974512743,1.779202947301337
강서구,화곡1동,0.09240585958337448,0.0934911503120344,0.31069185562589857,0.2206418944076253,0.6200716845878136,0.4000000000000001,0.03898050974512743,1.7762829542618739
강남구,압구정동,0.0775085788222846,0.07830869772766014,0.21832673342245318,0.15250577109241195,0.8100358422939066,0.4000000000000001,0.03898050974512743,1.775666133103844
관악구,남현동,0.1338020688968501,0.13558919200566324,0.3821726738466971,0.2866185121751434,0.4086021505376344,0.4000000000000001,0.02848575712143928,1.7752703545834276
영등포구,신길6동,0.06363541838899645,0.06421914281666577,0.3079173707972861,0.11862387370615832,0.7801672640382317,0.4000000000000001,0.03898050974512743,1.7735435794924659
은평구,역촌동,0.11311493208089973,0.11480585673334365,0.3128105531313845,0.3079901705264726,0.5232974910394265,0.4000000000000001,0.0014992503748125947,1.7735182538863397
서초구,방배3동,0.09430491325964208,0.09497264398363661,0.25981789290488566,0.10916672872142379,0.7753882915173237,0.4000000000000001,0.03898050974512743,1.7726309801320392
동대문구,제기동,0.17398711979631817,0.1753720431561013,0.365450097106969,0.41514632511728355,0.19713261648745506,0.4000000000000001,0.03898050974512743,1.7660687114092546
강북구,번2동,0.06697462723837162,0.06761345210273509,0.19618129997225517,0.16710104996649044,0.8231780167264039,0.4000000000000001,0.03898050974512743,1.7600289557513837
구로구,개봉3동,0.08437337831297066,0.08527661165704661,0.26415617827326154,0.1380594236354159,0.7491039426523297,0.4000000000000001,0.03898050974512743,1.7599500442761522
동대문구,장안2동,0.11874457659596854,0.12015476010675885,0.30647968320427776,0.18474942289075882,0.5830346475507764,0.4000000000000001,0.03898050974512743,1.752143600093668
성북구,길음2동,0.09637703407828505,0.09773801170212201,0.22581784245970693,0.12361307617841984,0.7670250896057348,0.4000000000000001,0.03898050974512743,1.7495515637693961
강남구,수서동,0.10188739009956041,0.10286332922576183,0.2900093323580599,0.2577258172611513,0.5579450418160095,0.4000000000000001,0.03898050974512743,1.7494114205056706
구로구,고척2동,0.08400397541131982,0.08495669140421497,0.3378061391782481,0.2166952118549408,0.5854241338112305,0.4000000000000001,0.03898050974512743,1.7478666614050817
영등포구,영등포동,0.11466808345371249,0.11609433179118439,0.3064292380255757,0.239779581502718,0.5292712066905614,0.4000000000000001,0.03898050974512743,1.7452229512088795
서대문구,남가좌1동,0.06209721028808493,0.06308922700719446,0.1925492471057079,0.0696999031945789,0.9139784946236559,0.4000000000000001,0.03898050974512743,1.7403945919643498
동대문구,전농1동,0.10033762449463665,0.1009465145391894,0.22561606174489876,0.12547471889195025,0.7479091995221027,0.4000000000000001,0.03898050974512743,1.7392646289379055
강동구,고덕2동,0.10598475150323108,0.10686938055379708,0.30945594874769844,0.12837888152505772,0.6475507765830345,0.4000000000000001,0.03898050974512743,1.7372202486579464
송파구,잠실6동,0.04011911174552092,0.040237470297984516,0.11130728680606353,0.022041849728200166,0.8841099163679808,0.6000000000000001,0.03898050974512743,1.7367961446908775
서초구,내곡동,0.16292406098562845,0.16450014906365196,0.2243297096879966,0.11743242236949886,0.6547192353643966,0.4000000000000001,0.0,1.7239055774711727
성북구,돈암1동,0.059886175345673656,0.060547701664896876,0.1983252200670921,0.10268821207833793,0.8626045400238948,0.4000000000000001,0.03898050974512743,1.723032358925023
양천구,신월7동,0.11785563074904781,0.11925678043205787,0.21999142431962068,0.06873184898354308,0.7550776583034647,0.4000000000000001,0.03898050974512743,1.7198938525328618
도봉구,쌍문1동,0.09683841978221164,0.09773691482938857,0.2526294549398441,0.18251545163452232,0.6487455197132616,0.4000000000000001,0.03898050974512743,1.7174462706443558
서초구,반포2동,0.10853684408528985,0.1095212534728161,0.1369838827654047,0.022935438230694764,0.8972520908004779,0.4000000000000001,0.03898050974512743,1.7142100190998109
종로구,창신1동,0.09020459532283706,0.09094695917398787,0.22813832068000103,0.17737731774517834,0.6845878136200715,0.4000000000000001,0.03898050974512743,1.7102355162872034
