No,호선,역명,도로명주소,지번주소,경도,위도,상태
145,5,종로3가(탑골공원),서울특별시 종로구 돈화문로11길 지하 26(돈의동),서울특별시 종로구 돈의동 39-1 5호선 종로3가역(5호선),126.9900622,37.57257073,정좌표
146,5,을지로4가,서울특별시 중구 창경궁로 지하51(주교동),서울특별시 중구 주교동 191 을지로4가역(5호선),126.9980599,37.56752475,정좌표
147,5,동대문역사문화공원(DDP),서울특별시 중구 마른내로 지하162(광희동1가),서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),127.0059167,37.56457785,정좌표
148,5,청구,서울특별시 중구 청구로 지하77(신당동),서울특별시 중구 신당동 295-2 청구역(5호선),127.0138063,37.56029423,정좌표
149,5,신금호,서울특별시 성동구 금호로 지하154(금호동2가),서울특별시 성동구 금호동2가 223-1 신금호역(5호선),127.0200643,37.55453317,정좌표
150,5,행당,서울특별시 성동구 행당로 지하89(행당동),서울특별시 성동구 행당동 317-241 행당역(5호선),127.0292317,37.55727755,정좌표
151,5,왕십리(성동구청),서울특별시 성동구 왕십리로 지하300(행당동),서울특별시 성동구 행당동 192 왕십리역(5호선),127.0366557,37.5612222,정좌표
152,5,마장,서울특별시 성동구 마장로 지하296(마장동),서울특별시 성동구 마장동 804 마장역(5호선),127.0431637,37.56628268,정좌표
153,5,답십리,서울특별시 성동구 천호대로 지하300(용답동),서울특별시 성동구 용답동 99 답십리역(5호선),127.0531811,37.56644613,정좌표
154,5,장한평,서울특별시 동대문구 천호대로 지하405(장안동),서울특별시 동대문구 장안동 472-3 장한평역(5호선),127.0641786,37.5620142,정좌표
155,5,군자(능동),서울특별시 광진구 천호대로 지하550(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),127.0790171,37.55736299,정좌표
156,5,아차산(어린이대공원후문),서울특별시 광진구 천호대로 지하657(능동),서울특별시 광진구 능동 256-16 5호선 아차산역(5호선),127.0893708,37.55240145,정좌표
157,5,광나루(장신대),서울특별시 광진구 아차산로 지하571(광장동),서울특별시 광진구 광장동 237 광나루역(5호선),127.1036861,37.54527902,정좌표
158,5,천호(풍납토성),서울특별시 강동구 천호대로 지하997(천호동),서울특별시 강동구 천호동 455 천호역(5호선),127.1237425,37.53857888,정좌표
159,5,강동,서울특별시 강동구 천호대로 지하1097(천호동),서울특별시 강동구 천호동 447 강동역(5호선),127.1335295,37.53552017,정좌표
160,5,길동,서울특별시 강동구 양재대로 지하1480(길동),서울특별시 강동구 길동 378 길동역(5호선),127.1399992,37.53781149,정좌표
161,5,굽은다리(강동구민회관앞),서울특별시 강동구 양재대로 지하1572(명일동),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),127.1429709,37.54573108,정좌표
162,5,명일,서울특별시 강동구 양재대로 지하1632(명일동),서울특별시 강동구 명일동 312 명일역(5호선),127.144001,37.55125949,정좌표
163,5,고덕,서울특별시 강동구 고덕로 지하253(고덕동),서울특별시 강동구 고덕동 310 고덕역(5호선),127.1539496,37.55504772,정좌표
164,5,상일동,서울특별시 강동구 고덕로 지하359(상일동),서울특별시 강동구 상일동 148 상일동역(5호선),127.1658288,37.55666381,정좌표
165,5,둔촌동,서울특별시 강동구 양재대로 지하1369(둔촌동),서울특별시 강동구 둔촌동 416 둔촌동역(5호선),127.1361902,37.52764152,정좌표
166,5,올림픽공원(한국체대),서울특별시 송파구 양재대로 지하1233(방이동),서울특별시 송파구 방이동 89-28 올림픽공원역(5호선),127.1306004,37.51608795,정좌표
167,5,방이,서울특별시 송파구 양재대로 지하1127(방이동),서울특별시 송파구 방이동 217-2 방이역(5호선),127.1258549,37.50855685,정좌표
168,5,오금,서울특별시 송파구 오금로 지하321(오금동),서울특별시 송파구 오금동 44-2 오금역(5호선),127.1278796,37.50226607,정좌표
169,5,개롱,서울특별시 송파구 오금로 지하402(가락동),서울특별시 송파구 가락동 165-2 개롱역(5호선),127.1351591,37.49781468,정좌표
170,5,거여,서울특별시 송파구 오금로 지하499(거여동),서울특별시 송파구 거여동 20-14 거여역(5호선),127.1440327,37.49320758,정좌표
171,5,마천,서울특별시 송파구 마천로57길 지하7(마천동),서울특별시 송파구 마천동 307-4 마천역(5호선),127.1523201,37.49466993,정좌표
172,5,강일,서울특별시 강동구 고덕로 지하456(강일동),서울특별시 강동구 상일동 산73 강일역(5호선),127.1759377,37.55752691,정좌표
173,5,미사,경기도 하남시 미사강변동로 지하90(망월동),경기도 하남시 망월동 1122 미사역(5호선),127.1926971,37.56310369,정좌표
174,5,하남풍산,경기도 하남시 덕풍서로 지하50(덕풍동),경기도 하남시 덕풍동 727-3 하남풍산역(5호선),127.2038706,37.55205694,정좌표
175,5,하남시청(덕풍 신장),경기도 하남시 하남대로 지하820(덕풍동),경기도 하남시 덕풍동 405-1 하남시청(덕풍신장)역(5호선),127.2068847,37.54217316,정좌표
176,5,하남검단산,경기도 하남시 대청로 지하100(창우동),경기도 하남시 창우동 526 하남검단산역(5호선),127.2234446,37.53975916,정좌표
177,6,응암,서울특별시 은평구 증산로 지하477(신사동),서울특별시 은평구 신사동 22-15 응암역(6호선),126.9155113,37.59874037,정좌표
178,6,역촌,서울특별시 은평구 서오릉로 지하63(녹번동),서울특별시 은평구 녹번동 153-31 역촌역(6호선),126.9229635,37.60603174,정좌표
179,6,불광,서울특별시 은평구 통일로 지하723-1(대조동),서울특별시 은평구 대조동 13-10 불광역(6호선),126.9299856,37.61020634,정좌표
180,6,독바위,서울특별시 은평구 불광로 지하129-1(불광동),서울특별시 은평구 불광동 13-33 독바위역(6호선),126.9327915,37.61836796,정좌표
181,6,연신내,서울특별시 은평구 통일로 지하849(갈현동),서울특별시 은평구 갈현동 397 연신내역(6호선),126.9211667,37.61896948,정좌표
182,6,구산,서울특별시 은평구 연서로 지하137-1(구산동),서울특별시 은평구 구산동 1 구산역(6호선),126.9171624,37.61117799,정좌표
183,6,새절(신사),서울특별시 은평구 증산로 지하400(신사동),서울특별시 은평구 신사동 337-5 새절역(6호선),126.9139165,37.59183378,정좌표
184,6,증산(명지대앞),서울특별시 은평구 증산로 지하306(증산동),서울특별시 은평구 증산동 199-8 증산역(6호선),126.9100569,37.58419489,정좌표
185,6,디지털미디어시티,서울특별시 은평구 수색로 지하175(증산동),서울특별시 은평구 증산동 223-25 디지털미디어시티역(6호선),126.9019293,37.57716183,정좌표
186,6,월드컵경기장(성산),서울특별시 마포구 월드컵로 지하240(성산동),서울특별시 마포구 성산동 420 월드컵경기장역(6호선),126.8990337,37.56994315,정좌표
187,6,마포구청,서울특별시 마포구 월드컵로 지하190(성산동),서울특별시 마포구 성산동 592 마포구청역(6호선),126.9033569,37.56342583,정좌표
188,6,망원,서울특별시 마포구 월드컵로 지하77(망원동),서울특별시 마포구 망원동 378 망원역(6호선),126.9100339,37.55605708,정좌표
189,6,합정,서울특별시 마포구 양화로 지하45(합정동),서울특별시 마포구 합정동 414 합정역(6호선),126.9136776,37.55016583,정좌표
190,6,상수,서울특별시 마포구 독막로 지하85(상수동),서울특별시 마포구 상수동 309-10 상수역(6호선),126.9224096,37.5477718,정좌표
191,6,광흥창(서강),서울특별시 마포구 독막로 지하165(창전동),서울특별시 마포구 창전동 145-17 광흥창역(6호선),126.9319395,37.54748562,정좌표
192,6,대흥(서강대앞),서울특별시 마포구 대흥로 지하85(대흥동),서울특별시 마포구 대흥동 128-1 대흥역(6호선),126.9415065,37.54770035,정좌표
193,6,공덕,서울특별시 마포구 백범로 지하200(공덕동),서울특별시 마포구 공덕동 439 공덕역(6호선),126.9519477,37.54352754,정좌표
194,6,효창공원앞,서울특별시 용산구 백범로 지하287(효창동),서울특별시 용산구 효창동 80 효창공원앞역(6호선),126.9612216,37.53960085,정좌표
195,6,삼각지,서울특별시 용산구 한강대로 지하185(한강로1가),서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),126.9732145,37.53526322,정좌표
196,6,녹사평(용산구청),서울특별시 용산구 녹사평대로 지하195(용산동4가),서울특별시 용산구 용산동4가 4 녹사평역(6호선),126.9870284,37.53483162,정좌표
197,6,이태원,서울특별시 용산구 이태원로 지하177(이태원동),서울특별시 용산구 이태원동 119-23 이태원역(6호선),126.9937229,37.53448528,정좌표
198,6,한강진,서울특별시 용산구 이태원로 지하287(한남동),서울특별시 용산구 한남동 726-494 한강진역(6호선),127.0017473,37.54029374,정좌표
199,6,버티고개,서울특별시 중구 다산로 지하38(신당동),서울특별시 중구 신당동 366-454 버티고개역(6호선),127.0068858,37.54799599,정좌표
200,6,약수,서울특별시 중구 다산로 지하115(신당동),서울특별시 중구 신당동 369-2 약수역(6호선),127.0101203,37.55389185,정좌표
201,6,청구,서울특별시 중구 청구로 지하77(신당동),서울특별시 중구 신당동 295-2 청구역(6호선),127.0138063,37.56029423,정좌표
202,6,신당,서울특별시 중구 다산로 지하260(흥인동),서울특별시 중구 흥인동 162-1 신당역(6호선),127.0161532,37.56627422,정좌표
203,6,동묘앞,서울특별시 종로구 지봉로 지하24(숭인동),서울특별시 종로구 숭인동 316-3 동묘앞역(6호선),127.0156781,37.57220089,정좌표
204,6,창신,서울특별시 종로구 지봉로 지하112(창신동),서울특별시 종로구 창신동 20-8 창신역(6호선),127.0152113,37.58001698,정좌표
205,6,보문,서울특별시 성북구 보문로 지하116(보문동1가),서울특별시 성북구 보문동1가 127-1 보문역(6호선),127.0194893,37.58554963,정좌표
206,6,안암(고대병원앞),서울특별시 성북구 고려대로 지하89(안암동5가),서울특별시 성북구 안암동5가 146-1 안암역(6호선),127.0292126,37.58628059,정좌표
207,6,고려대(종암),서울특별시 성북구 종암로 지하1(종암동),서울특별시 성북구 종암동 29-18 고려대역(6호선),127.0362851,37.59064974,정좌표
208,6,월곡(동덕여대),서울특별시 성북구 월곡로 지하107(하월곡동),서울특별시 성북구 하월곡동 35-1 월곡역(6호선),127.0411844,37.60142076,정좌표
209,6,상월곡(한국과학기술연구원),서울특별시 성북구 화랑로 지하157(상월곡동),서울특별시 성북구 상월곡동 26-1 상월곡역(6호선),127.048327,37.60626482,정좌표
