행정구역,2021년_총인구수,2021년_세대수,2021년_세대당 인구
서울특별시 도봉구 창제2동(1132051200),"29,099","12,613",2.31
서울특별시 도봉구 창제3동(1132051300),"13,836","6,544",2.11
서울특별시 도봉구 창제4동(1132051400),"26,496","10,699",2.48
서울특별시 도봉구 창제5동(1132051500),"24,607","10,245",2.4
서울특별시 도봉구 도봉제1동(1132052100),"21,072","10,385",2.03
서울특별시 도봉구 도봉제2동(1132052200),"26,837","11,875",2.26
서울특별시 도봉구 쌍문제1동(1132066000),"21,380","9,407",2.27
서울특별시 도봉구 쌍문제2동(1132067000),"18,728","8,594",2.18
서울특별시 도봉구 쌍문제3동(1132068000),"16,614","7,890",2.11
서울특별시 도봉구 쌍문제4동(1132068100),"18,606","7,099",2.62
서울특별시 도봉구 방학제1동(1132069000),"28,673","12,938",2.22
서울특별시 도봉구 방학제2동(1132070000),"19,669","9,418",2.09
서울특별시 도봉구 방학제3동(1132071000),"27,043","9,992",2.71
서울특별시 노원구 월계1동(1135056000),"21,602","10,228",2.11
서울특별시 노원구 월계2동(1135057000),"26,568","11,944",2.22
서울특별시 노원구 월계3동(1135058000),"29,885","12,991",2.3
서울특별시 노원구 공릉1동(1135059500),"36,610","18,190",2.01
서울특별시 노원구 공릉2동(1135060000),"40,374","17,045",2.37
서울특별시 노원구 하계1동(1135061100),"26,562","11,491",2.31
서울특별시 노원구 하계2동(1135061200),"21,977","8,211",2.68
서울특별시 노원구 중계본동(1135061900),"23,955","8,383",2.86
서울특별시 노원구 중계1동(1135062100),"26,778","8,956",2.99
서울특별시 노원구 중계4동(1135062400),"19,928","8,343",2.39
서울특별시 노원구 중계2.3동(1135062500),"34,196","15,269",2.24
서울특별시 노원구 상계1동(1135063000),"38,126","15,601",2.44
서울특별시 노원구 상계2동(1135064000),"19,980","8,657",2.31
서울특별시 노원구 상계3.4동(1135066500),"26,166","11,999",2.18
서울특별시 노원구 상계5동(1135067000),"23,940","10,926",2.19
서울특별시 노원구 상계6.7동(1135069500),"32,641","13,894",2.35
서울특별시 노원구 상계8동(1135070000),"22,547","9,219",2.45
서울특별시 노원구 상계9동(1135071000),"20,444","8,378",2.44
서울특별시 노원구 상계10동(1135072000),"18,677","7,653",2.44
서울특별시 은평구 녹번동(1138051000),"36,807","17,601",2.09
서울특별시 은평구 불광제1동(1138052000),"38,518","17,756",2.17
서울특별시 은평구 불광제2동(1138053000),"27,545","13,989",1.97
서울특별시 은평구 갈현제1동(1138055100),"21,876","10,787",2.03
서울특별시 은평구 갈현제2동(1138055200),"28,240","12,650",2.23
서울특별시 은평구 구산동(1138056000),"32,207","13,325",2.42
서울특별시 은평구 대조동(1138057000),"26,881","14,546",1.85
서울특별시 은평구 응암제1동(1138058000),"32,960","14,952",2.2
서울특별시 은평구 응암제2동(1138059000),"27,912","11,263",2.48
서울특별시 은평구 응암제3동(1138060000),"24,336","12,494",1.95
서울특별시 은평구 역촌동(1138062500),"45,384","20,822",2.18
서울특별시 은평구 신사제1동(1138063100),"27,031","11,896",2.27
서울특별시 은평구 신사제2동(1138063200),"20,211","8,976",2.25
서울특별시 은평구 증산동(1138064000),"14,909","6,768",2.2
서울특별시 은평구 수색동(1138065000),"12,692","5,360",2.37
서울특별시 은평구 진관동(1138069000),"55,798","21,526",2.59
서울특별시 서대문구 천연동(1141052000),"17,121","7,749",2.21
서울특별시 서대문구 북아현동(1141055500),"15,930","7,209",2.21
서울특별시 서대문구 충현동(1141056500),"20,355","10,263",1.98
서울특별시 서대문구 신촌동(1141058500),"19,752","14,010",1.41
서울특별시 서대문구 연희동(1141061500),"34,976","18,600",1.88
서울특별시 서대문구 홍제제1동(1141062000),"23,676","10,409",2.27
서울특별시 서대문구 홍제제3동(1141064000),"15,336","7,046",2.18
서울특별시 서대문구 홍제제2동(1141065500),"13,703","5,805",2.36
서울특별시 서대문구 홍은제1동(1141066000),"22,697","9,731",2.33
서울특별시 서대문구 홍은제2동(1141068500),"26,496","12,316",2.15
서울특별시 서대문구 남가좌제1동(1141069000),"15,409","5,673",2.72
서울특별시 서대문구 남가좌제2동(1141070000),"29,780","13,344",2.23
서울특별시 서대문구 북가좌제1동(1141071000),"18,009","6,908",2.61
서울특별시 서대문구 북가좌제2동(1141072000),"31,579","14,584",2.17
서울특별시 마포구 아현동(1144055500),"25,233","10,423",2.42
서울특별시 마포구 공덕동(1144056500),"37,164","18,507",2.01
서울특별시 마포구 도화동(1144058500),"21,151","9,305",2.27
서울특별시 마포구 용강동(1144059000),"21,619","9,393",2.3
서울특별시 마포구 대흥동(1144060000),"14,517","8,673",1.67
서울특별시 마포구 염리동(1144061000),"16,817","7,754",2.17
서울특별시 마포구 신수동(1144063000),"22,489","9,976",2.25
서울특별시 마포구 서강동(1144065500),"24,938","12,165",2.05
서울특별시 마포구 서교동(1144066000),"24,826","15,381",1.61
서울특별시 마포구 합정동(1144068000),"17,311","9,508",1.82
서울특별시 마포구 망원제1동(1144069000),"20,041","10,325",1.94
서울특별시 마포구 망원제2동(1144070000),"18,567","8,464",2.19
서울특별시 마포구 연남동(1144071000),"14,914","8,641",1.73
서울특별시 마포구 성산제1동(1144072000),"18,930","9,398",2.01
서울특별시 마포구 성산제2동(1144073000),"39,608","19,231",2.06
서울특별시 마포구 상암동(1144074000),"30,780","12,717",2.42
서울특별시 양천구 목1동(1147051000),"30,750","10,403",2.96
서울특별시 양천구 목2동(1147052000),"29,903","13,396",2.23
서울특별시 양천구 목3동(1147053000),"21,815","10,027",2.18
서울특별시 양천구 목4동(1147054000),"25,372","10,152",2.5
서울특별시 양천구 목5동(1147055000),"41,239","13,465",3.06
서울특별시 양천구 신월1동(1147056000),"20,422","10,232",2
서울특별시 양천구 신월2동(1147057000),"20,665","8,465",2.44
서울특별시 양천구 신월3동(1147058000),"15,191","7,909",1.92
서울특별시 양천구 신월4동(1147059000),"17,926","6,890",2.6
서울특별시 양천구 신월5동(1147060000),"14,615","6,470",2.26
서울특별시 양천구 신월6동(1147061000),"13,893","5,356",2.59
