기간,자치구,동,계,20~24세,25~29세,30~34세,35~39세
2021,강서구,화곡1동,51457.5,3031.5,6375.5,5719.5,4704.5
2021,강서구,우장산동,42923.5,2562,2609,2309,3046
2021,구로구,신도림동,35935.5,1984,2293.5,2803,3344
2021,구로구,구로1동,20885,1160.5,1588.5,1847.5,1927
2021,구로구,구로3동,23442,1397.5,2763.5,2660,2243.5
2021,구로구,구로4동,19707.5,1069,1729.5,1532.5,1333.5
2021,구로구,구로5동,29032,1846.5,3180,2884.5,2585.5
2021,구로구,고척1동,22566.5,1509,1652,1421,1401.5
2021,구로구,고척2동,26796.5,1645,1863,1485,1711
2021,구로구,개봉2동,31071.5,1732.5,2021,2068.5,2310
2021,구로구,개봉3동,20365,1146,1415.5,1314,1368.5
2021,구로구,오류1동,22379,1410,2566.5,2469.5,1896
2021,구로구,수궁동,23552,1345.5,1654,1598.5,1653
2021,구로구,가리봉동,8787,495.5,1044.5,712,539
2021,구로구,구로2동,23771.5,1293.5,1893.5,1471.5,1363
2021,구로구,개봉1동,33789,1974.5,2533.5,2565.5,2457
2021,구로구,오류2동,38460,2045,2483,2338.5,2689
2021,구로구,항동,16303,677,945.5,1530,2193.5
2021,금천구,가산동,22991,1808.5,4839.5,3481,2099.5
2021,금천구,독산1동,43156,2605,5038.5,4753,4124
2021,금천구,독산2동,18625.5,1094,1695.5,1321,1177
2021,금천구,독산3동,23944,1423.5,2445.5,1957,1603
2021,금천구,독산4동,15116.5,914.5,1319,1072,897
2021,금천구,시흥1동,32826,1961.5,2910,2481.5,2241.5
2021,금천구,시흥2동,21356,1228,1176.5,1086,1319.5
2021,금천구,시흥3동,10833,644.5,758,716,662.5
2021,금천구,시흥4동,20250.5,1137,1503.5,1288.5,1245.5
2021,금천구,시흥5동,19201,1122.5,1377,1112,1104.5
2021,영등포구,여의동,32822,1635.5,2081,2278,2703.5
2021,영등포구,당산1동,20227.5,1191.5,2299.5,2360.5,1844.5
2021,영등포구,당산2동,37099,2347,4907.5,4595,3597
2021,영등포구,양평1동,17625.5,915.5,1895,2396.5,2057
2021,영등포구,양평2동,22116,1363,2339.5,2877,2351.5
2021,영등포구,신길1동,17065.5,1072.5,2312.5,1841.5,1176
